17:18:52.317 [main] INFO  com.example.todobackend.service.TodoService - Saved Todo with id: 1
17:18:52.368 [main] INFO  com.example.todobackend.service.TodoService - Deleted Todo with id: 1
17:18:52.579 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.todobackend.TodoIntegrationTest]: TodoIntegrationTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:18:52.713 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.todobackend.TodoBackendApplication for test class com.example.todobackend.TodoIntegrationTest
17:18:53.230 [main] INFO  com.example.todobackend.TodoIntegrationTest - Starting TodoIntegrationTest using Java 17.0.11 with PID 19072 (started by RAVI SHANKAR in C:\Learning\System Design\todo-backend)
17:18:53.235 [main] INFO  com.example.todobackend.TodoIntegrationTest - No active profile set, falling back to 1 default profile: "default"
17:18:54.529 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:18:54.608 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 70 ms. Found 2 JPA repository interfaces.
17:18:55.577 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
17:18:55.610 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
17:18:55.614 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:18:55.615 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
17:18:55.793 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:18:55.796 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2515 ms
17:18:56.289 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:18:56.413 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
17:18:56.471 [main] INFO  org.hibernate.cache.internal.RegionFactoryInitiator - HHH000026: Second-level cache disabled
17:18:56.688 [main] INFO  org.springframework.orm.jpa.persistenceunit.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
17:18:56.728 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: SQLServerDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
17:18:57.639 [main] INFO  org.hibernate.engine.transaction.jta.platform.internal.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
17:18:57.663 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:18:59.848 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection ConnectionID:1 ClientConnectionId: 108e6220-5bb3-47f6-be2c-5d814122f7b9
17:18:59.850 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:19:01.245 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:19:02.662 [main] INFO  org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name customUserDetailsService
17:19:02.912 [main] WARN  org.springframework.boot.autoconfigure.orm.jpa.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:19:03.684 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@139f1db4, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2e90a3de, org.springframework.security.web.context.SecurityContextHolderFilter@7fcbed77, org.springframework.security.web.header.HeaderWriterFilter@3ffa3cdb, org.springframework.web.filter.CorsFilter@532860c7, org.springframework.security.web.authentication.logout.LogoutFilter@f54cdc4, com.example.todobackend.security.JwtAuthenticationFilter@9d573a6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2b3247f8, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1805b503, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@62ccbd95, org.springframework.security.web.session.SessionManagementFilter@6c37b0de, org.springframework.security.web.access.ExceptionTranslationFilter@4def8aaa, org.springframework.security.web.access.intercept.AuthorizationFilter@806a687]
